"#","Quantity","MPN","Name","Value"
"1","1","","TESTPOINT",""
"2","1","","TESTPOINT",""
"3","1","","TESTPOINT",""
"4","1","","JST-B02B-PASK",""
"5","1","RC0603JR-070RL","RES_0R_0603","0R"
"6","1","","TESTPOINT",""
"7","1","","JST-B02B-PASK",""
"8","1","","TESTPOINT",""
"9","1","RC0603JR-070RL","RES_0R_0603","0R"
"10","1","","JST-B02B-PASK",""
"11","1","RC0603JR-070RL","RES_0R_0603","0R"
"12","1","","TESTPOINT",""
"13","1","","JST-B02B-PASK",""
"14","1","KXT 311 LHS","PUSHBUTTON_SIGNAL",""
"15","1","KXT 311 LHS","PUSHBUTTON_SIGNAL",""
"16","1","","TESTPOINT",""
"17","1","","TESTPOINT",""
"18","1","GRM1555C1H150JA01D","CAP_15pF_0402","15pF"
"19","1","GRM1555C1H150JA01D","CAP_15pF_0402","15pF"
"20","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"21","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"22","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"23","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"24","1","CC0603KRX5R5BB475","CAP_4.7uF_0603","4.7uF"
"25","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"26","1","CC0603KRX5R5BB475","CAP_4.7uF_0603","4.7uF"
"27","1","CC0402KRX7R6BB103","CAP_10nF_0603","10nF"
"28","1","CC0603ZRY5V7BB105","CAP_1uF_0603","1uF"
"29","1","GRM188R71C334KA01D","CAP_0.33uF_0603","0.33uF"
"30","1","","CAP_10uF_POL","10uF"
"31","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"32","1","860020672011","CAP_22uF_POL","10uF"
"33","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"34","1","860020672011","CAP_22uF_POL","10uF"
"35","1","CC0603KRX7R7BB104","CAP_100nF_0603","100nF"
"36","1","","TESTPOINT",""
"37","1","","TESTPOINT",""
"38","1","CC0402KRX7R6BB103","CAP_10nF_0603","10nF"
"39","1","CC0402KRX7R6BB103","CAP_10nF_0603","10nF"
"40","1","CC0603ZRY5V7BB105","CAP_1uF_0603","1uF"
"41","1","CC0603ZRY5V7BB105","CAP_1uF_0603","1uF"
"42","1","","DIO_SCHOTTKY",""
"43","1","","DIO_SCHOTTKY",""
"44","1","LS R976-NR-1","DIO_LED_R","RED"
"45","1","LY R976-PS-36","DIO_LED_Y","YELLOW"
"46","1","LG R971-KN-1","DIO_LED_G","GREEN"
"47","1","PESD1CAN-UX","TVS_DIODE_CAN",""
"48","1","LG R971-KN-1","DIO_LED_G","GREEN"
"49","1","LG R971-KN-1","DIO_LED_G","GREEN"
"50","1","","TESTPOINT",""
"51","1","","TESTPOINT",""
"52","1","","JST-B02B-PASK",""
"53","1","","CON_4M_SM_180",""
"54","1","","CON_4M_SM_180",""
"55","1","","CON_3M_SM_180",""
"56","1","","CON_5M_TH_180",""
"57","1","","CON_4M_SM_180",""
"58","1","","CON_3M_SM_180",""
"59","1","","CON_5M_TH_180",""
"60","1","","CON_3M_TH_180",""
"61","1","","RES_THERMIS_NTC",""
"62","1","","MOSFET_ENH_P",""
"63","1","","MOSFET_ENH_N",""
"64","1","","MOSFET_ENH_N",""
"65","1","AO3420","NMOS_20V_6A",""
"66","1","RC0603JR-070RL","RES_0R_0603","0R"
"67","1","","RES_FIXED","2.7k"
"68","1","","RES_FIXED","8.2k"
"69","1","RC0603FR-07100RL","RES_100R_0603","100R"
"70","1","RC0603JR-0710KL","RES_10K_0603","10K"
"71","1","RC0603JR-0710KL","RES_10K_0603","10K"
"72","1","RC0603JR-074K7L","RES_4.7K_0603","4.7K"
"73","1","RC0603JR-074K7L","RES_4.7K_0603","4.7K"
"74","1","RC0603JR-0710KL","RES_10K_0603","10K"
"75","1","RC0603JR-070RL","RES_0R_0603","0R"
"76","1","RC0603FR-07100RL","RES_100R_0603","100R"
"77","1","RC0603FR-07100RL","RES_100R_0603","100R"
"78","1","RC0603JR-07120RL","RES_120R_0603","120R"
"79","1","RC0603FR-07100RL","RES_100R_0603","100R"
"80","1","RC0603FR-07100RL","RES_100R_0603","100R"
"81","1","RC0603JR-0710KL","RES_10K_0603","10K"
"82","1","RC0603JR-0710KL","RES_10K_0603","10K"
"83","1","","RES_FIXED","10k"
"84","1","","RES_FIXED","6.8k"
"85","1","","RES_FIXED","6.8k"
"86","1","RC0603JR-074K7L","RES_4.7K_0603","4.7K"
"87","1","RC0603JR-074K7L","RES_4.7K_0603","4.7K"
"88","1","","RES_78.5k_0603","78.5k"
"89","1","","RES_85k_0603","85k"
"90","1","","RES_30.1k_0603","30.1k"
"91","1","","RES_20k_0603","20k"
"92","1","","RES_FIXED","10k"
"93","1","","JST-B02B-PASK",""
"94","1","","JST-B02B-PASK",""
"95","1","","JST-B02B-PASK",""
"96","1","","TESTPOINT",""
"97","1","","TESTPOINT",""
"98","1","","TESTPOINT",""
"99","1","","TESTPOINT",""
"100","1","KXT 311 LHS","PUSHBUTTON_SIGNAL",""
"101","1","","TESTPOINT",""
"102","1","","TESTPOINT",""
"103","1","","TESTPOINT",""
"104","1","","STM32F091RC ",""
"105","1","MC33269DT-3.3","LDO_3V3_DPAK",""
"106","1","","LTC2875","IC TXRX CAN"
"107","1","","TC648B_OA",""
"108","1","","CRYSTAL","8MHz"
"","108","","",""
