refdes;pin;voltage;current
J1;2;24.0;0.000200004
J1;1;0.0;-0.000200004
U1;A';4.95142;4.02143
U1;C';4.95168;3.97857
U1;E;-0.00064239;-2.6340966654
U1;B';-0.000678017;-2.6281566651
U1;D';-2.10856e-05;-2.7376466695
U2;8;16.9893;1.65
U2;9;-0.000243426;-0.9960860042
U2;7;-0.00138433;-0.6538149956
J9;1;4.82976;-8.0
J2;2;0.0106374;8.0
J5;1;16.9604;-1.65
J5;2;0.00772179;1.65
U1;A;24.0;-0.0001
U2;2;24.0;-0.0001
Q1;2;24.0;-0.000200004
Q1;3;24.0;0.000200004
F1;1;24.0;-0.000200004
F1;2;24.0;0.000200004
L1;1;24.0;-0.000100033
L1;2;24.0;0.000100033
L2;1;4.94487;-8.0
L2;2;4.84086;8.0
L3;1;16.9849;-1.65
L3;2;16.9635;1.65
