refdes,pin,voltage,current
J1,2,23.995,5.0
J1,1,0.0,0.0
Q1,8,23.9896,6.85
C1,2,-0.003539,-6.85
Q3,1,23.9971,1.65
C3,2,-0.00120476,-1.65
L2,2,16.9981,1.65
C30,1,-0.000265436,-1.65
L3,2,4.99211,3.985
C40,1,-0.00390612,-3.985
F1,1,23.9926,-5.0
Q2,1,23.9841,-0.2
C6,2,0.000872776,0.2
U3,2,23.9821,-1.65
U3,7,0.00195792,0.821269
U3,9,0.00135495,0.828731
J2,1,23.9766,-1.0
J2,2,0.00238438,1.0
U4,A,23.9838,-4.0
U4,E,0.00147481,1.33775
U4,B',0.00172236,1.33115
U4,D',0.00172459,1.33109
J5,1,23.9944,-1.65
J5,2,0.00185346,1.65
U15,1,16.9926,-0.825476
U15,8,16.9925,-0.824525
U15,6,0.00363563,0.817909
U15,9,0.00191635,0.832093
U6,1,4.98942,-0.493408
U6,8,4.98905,-0.49159
U6,6,0.00325023,0.489962
U6,9,0.00222001,0.495036
U8,1,4.98865,-0.500007
U8,8,4.98865,-0.499993
U8,6,0.00332029,0.497385
U8,9,0.00227432,0.502615
U10,1,4.98796,-0.499984
U10,8,4.98797,-0.500016
U10,6,0.00337926,0.497386
U10,9,0.00233349,0.502614
U7,1,4.98779,-0.500377
U7,8,4.98764,-0.499623
U7,6,0.00341026,0.497384
U7,9,0.00236392,0.502616
